2025-11-19 10:29:17 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Method returned: BankAccountDto [accountNumber=48201982, bankName=ICICI Bank, ifscCode=ICICI0000527, accountType=SAVING, balance=130925.0, panCard=GJPSW9998R, accountStatus=ACTIVE, openingDate=2025-11-18, customerDto=com.nihilent.bankingApplication.dto.CustomerDto@4a241a8d]
2025-11-19 10:29:17 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - After method: getAccountDetail
2025-11-19 10:29:17 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Method returned: [com.nihilent.bankingApplication.entity.BeneficiaryAccount@7d4c1809, com.nihilent.bankingApplication.entity.BeneficiaryAccount@6988f7d3, com.nihilent.bankingApplication.entity.BeneficiaryAccount@39566fa3, com.nihilent.bankingApplication.entity.BeneficiaryAccount@6fbc175f]
2025-11-19 10:29:17 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - After method: getAllBeneficiaries
2025-11-19 10:29:17 WARN  org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.resource.NoResourceFoundException: No static resource NihilentBank/getQRCode.]
2025-11-19 10:29:17 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Method returned: 9823651431@ICICI Bank
2025-11-19 10:29:17 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - After method: findUpiId
2025-11-19 10:29:17 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before and after method: findUpiId
2025-11-19 10:29:17 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before method: findUpiId
2025-11-19 10:29:17 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Method returned: 9823651431@ICICI Bank
2025-11-19 10:29:17 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - After method: findUpiId
2025-11-19 10:29:17 WARN  org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.resource.NoResourceFoundException: No static resource NihilentBank/getQRCode.]
2025-11-19 10:56:30 INFO  org.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-groupID-145, groupId=groupID] Disconnecting from node 0 due to request timeout.
2025-11-19 10:56:31 INFO  org.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-groupID-145, groupId=groupID] Cancelled in-flight FETCH request with correlation id 25093 due to node 0 being disconnected (elapsed time since creation: 644039ms, elapsed time since send: 644039ms, throttle time: 0ms, request timeout: 30000ms)
2025-11-19 10:56:31 INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-groupID-145, groupId=groupID] Group coordinator 127.0.0.1:9092 (id: 2147483647 rack: null) is unavailable or invalid due to cause: session timed out without receiving a heartbeat response. isDisconnected: false. Rediscovery will be attempted.
2025-11-19 10:56:31 INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-groupID-145, groupId=groupID] Requesting disconnect from last known coordinator 127.0.0.1:9092 (id: 2147483647 rack: null)
2025-11-19 10:56:31 INFO  org.apache.kafka.clients.FetchSessionHandler - [Consumer clientId=consumer-groupID-145, groupId=groupID] Error sending fetch request (sessionId=868329761, epoch=21329) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
2025-11-19 10:56:31 INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-groupID-145, groupId=groupID] Discovered group coordinator 127.0.0.1:9092 (id: 2147483647 rack: null)
2025-11-19 10:56:31 INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-groupID-145, groupId=groupID] Discovered group coordinator 127.0.0.1:9092 (id: 2147483647 rack: null)
2025-11-19 10:56:32 INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-groupID-145, groupId=groupID] Attempt to heartbeat with Generation{generationId=334, memberId='consumer-groupID-145-519ad1c3-6cfa-4030-9882-179fefa92848', protocol='range'} and group instance id Optional.empty failed due to UNKNOWN_MEMBER_ID, resetting generation
2025-11-19 10:56:32 INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-groupID-145, groupId=groupID] Resetting generation and member id due to: encountered UNKNOWN_MEMBER_ID from HEARTBEAT response
2025-11-19 10:56:32 INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-groupID-145, groupId=groupID] Request joining group due to: encountered UNKNOWN_MEMBER_ID from HEARTBEAT response
2025-11-19 10:56:32 INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-groupID-145, groupId=groupID] Giving away all assigned partitions as lost since generation/memberID has been reset,indicating that consumer is in old state or no longer part of the group
2025-11-19 10:56:32 INFO  org.apache.kafka.clients.consumer.internals.ConsumerRebalanceListenerInvoker - [Consumer clientId=consumer-groupID-145, groupId=groupID] Lost previously assigned partitions kafkaTopic-0
2025-11-19 10:56:32 INFO  org.springframework.kafka.listener.KafkaMessageListenerContainer - groupID: partitions lost: [kafkaTopic-0]
2025-11-19 10:56:32 INFO  org.springframework.kafka.listener.KafkaMessageListenerContainer - groupID: partitions revoked: [kafkaTopic-0]
2025-11-19 10:56:32 INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-groupID-145, groupId=groupID] (Re-)joining group
2025-11-19 10:56:32 INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-groupID-145, groupId=groupID] Request joining group due to: need to re-join with the given member-id: consumer-groupID-145-995df5c1-04d1-45c2-af9c-5f47f84413db
2025-11-19 10:56:32 INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-groupID-145, groupId=groupID] (Re-)joining group
2025-11-19 10:56:32 INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-groupID-145, groupId=groupID] Successfully joined group with generation Generation{generationId=336, memberId='consumer-groupID-145-995df5c1-04d1-45c2-af9c-5f47f84413db', protocol='range'}
2025-11-19 10:56:32 INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-groupID-145, groupId=groupID] Finished assignment for group at generation 336: {consumer-groupID-145-995df5c1-04d1-45c2-af9c-5f47f84413db=Assignment(partitions=[kafkaTopic-0])}
2025-11-19 10:56:32 INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-groupID-145, groupId=groupID] Successfully synced group in generation Generation{generationId=336, memberId='consumer-groupID-145-995df5c1-04d1-45c2-af9c-5f47f84413db', protocol='range'}
2025-11-19 10:56:32 INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-groupID-145, groupId=groupID] Notifying assignor about the new Assignment(partitions=[kafkaTopic-0])
2025-11-19 10:56:32 INFO  org.apache.kafka.clients.consumer.internals.ConsumerRebalanceListenerInvoker - [Consumer clientId=consumer-groupID-145, groupId=groupID] Adding newly assigned partitions: kafkaTopic-0
